Date,Banias_Rain,Zivan_Rain,Ginosar_Rain
01/11/1991,163.2,195.4,116.5
01/12/1991,344.4,413.2,265.1
01/01/1992,237.6,260.4,167.4
01/02/1992,356.7,400,223.5
01/03/1992,59.1,40,26.8
01/04/1992,11.7,7,0
01/05/1992,22,16.8,2
01/06/1992,25.4,13.3,4.5
01/09/1992,0,0,0
01/10/1992,0,0,0
01/11/1992,124.7,130.8,80.8
01/12/1992,291.6,306.9,189.2
01/01/1993,175.4,NaN,95.1
01/02/1993,80.2,NaN,76.8
01/03/1993,81.8,NaN,38.4
01/04/1993,15.9,NaN,0
01/05/1993,30,NaN,9.6
01/09/1993,NaN,0,NaN
01/10/1993,26.5,12.7,9.1
01/11/1993,31,36.3,16.9
01/12/1993,30.1,29.8,8.6
01/01/1994,204.2,238.8,93.8
01/02/1994,123.5,172.7,64.2
01/03/1994,72,103.8,47.3
01/04/1994,19.5,12.9,5.3
01/05/1994,21,4.8,
01/06/1994,,0,
01/09/1994,7.4,4.1,0.6
01/10/1994,7.8,23.2,34.5
01/11/1994,241.2,220.4,178.5
01/12/1994,220.5,217.3,119.6
01/01/1995,107.6,109.1,35.5
01/02/1995,136.4,138.8,109
01/03/1995,44.5,49.1,18.9
01/04/1995,20.6,28.6,22.7
01/05/1995,NaN,2.4,1.2
01/07/1995,3.3,NaN,NaN
01/09/1995,NaN,0,NaN
01/10/1995,5.4,7.4,0
01/11/1995,116.5,102.2,98.2
01/12/1995,47.6,44.3,44.4
01/01/1996,211.4,244.9,177.5
01/02/1996,74.8,82,26.4
01/03/1996,194.2,201.8,136.7
01/04/1996,43.9,39.3,15.3
01/05/1996,1,0.2,NaN
01/09/1996,NaN,4,NaN
01/10/1996,59.5,43.4,58.3
01/11/1996,15.4,15.8,13.7
01/12/1996,116.4,106.3,76.2
01/01/1997,82,92.1,66.4
01/02/1997,208.2,246.2,134.5
01/03/1997,160.4,169.5,70
01/04/1997,47.4,84.7,16.8
01/05/1997,8.4,14.4,2
01/06/1997,NaN,0,NaN
01/09/1997,NaN,3.8,0.8
01/10/1997,28.2,15.9,14.6
01/11/1997,85.2,110.3,47.7
01/12/1997,192.5,220.2,90.3
